EVENT_ID,BDD_ID,EVENT_TYPE,CONFLICT_TYPE,BDD_START
68,1a8d12f7-3bc5851e,4,,20.55
69,3262196b-a043aaa4,4,,30.83
70,1a5d0011-88de8a10,4,,23.73
71,28c625d6-5464506b,4,,22.83
72,117a25ea-e50ce840,4,,25.56
73,32b7db6c-8eb758b4,4,,32.81
74,1afb54b7-7e14064f,4,,27.5
75,29981832-b90c929f,4,,29.58
76,2aa7c61a-ef091eed,4,,23.61
77,3050b249-68880b16,4,,26.86
78,0a7115d2-a4b9a0d8,3,,17.52
79,1b7e68ab-5f7abcdc,3,,16.48
80,286dd092-b04205db,4,,21.38
81,309e2953-7c5f95d6,4,,22.36
82,148a9ff7-e89f0907,4,,30.08
83,1a161cf2-88637a66,4,,20.73
84,1319e6ed-d0f3cad3,3,,18.0
85,07812b19-1a472b19,3,,17.89
86,277b6193-38946528,4,,25.86
87,2a04d6fc-e60f2efa,4,,27.39
88,2a38618f-e0f997d5,4,,23.41
89,304bf92e-67630150,4,,23.19
90,14288818-a3e8421e,3,,16.89
91,30d60151-c2618b59,4,,21.06
92,1aa36a55-6030d8ca,4,,22.39
93,2fac89c0-646c7f41,4,,21.75
94,13c811ed-d3488a6b,3,,17.11
95,133a443d-b644901a,4,,20.27
96,08f90823-bf09bf13,3,,17.89
97,26fafbba-e0476750,4,,20.81
98,2a0b0ab3-a0798ab1,4,,22.98
99,1059840e-b6090d3c,3,,17.27
100,08c793fc-aac55921,4,,22.08
101,1038168f-57e09fec,3,,18.77
102,09f23136-817bff87,3,,18.41
103,06e78685-b80ce1cc,3,,16.56
104,1bc71761-fdb73491,3,,19.28
105,1c20ca7a-b710bbdb,4,,24.77
106,0ac47490-b6778960,3,,17.16
107,271cef4e-51a2cab2,3,,17.62
108,147745bb-99af0e39,3,,19.56
109,09e76fbb-8f30108f,3,,16.25
110,10c3a8f6-af40f230,3,,17.86
111,0a4d38c3-8f2ea1a7,3,,17.67
112,1391b29a-9e5a1580,3,,18.08
113,073dc97d-7a3e1436,3,,15.97
114,0a623783-cfbaf66f,3,,19.3
115,0bf4162f-ab9fe384,3,,17.31
116,09dd76ae-f764918c,3,,16.31
117,07bd5534-a5b67622,3,,17.67
118,0af99ed6-252c770e,3,,19.31
119,2de6e6db-20de4ba9,3,,17.67
120,27af350c-59cf32cc,3,,16.94
121,27c4b041-81b9b446,3,,18.38
122,10eb7116-638f72f4,3,,18.5
123,2a174e91-c0cac39f,4,,21.27
124,2a5426eb-50d2d5bd,4,,20.66
125,12696364-222906e9,3,,17.44
126,066d1d12-21f921e6,3,,16.62
127,26573804-24d71da9,4,,20.55
128,30cd093c-757fef7a,4,,23.38
129,27af350c-60438b54,4,,22.94
130,1ab40223-b3442aec,3,,17.39
131,2a601183-1d0b095f,4,,17.7
132,0771e291-2c04da5c,4,,28.53
133,09ad6875-3ff2b775,3,,17.36
134,14540082-1c04c004,4,,18.77
135,27f635b5-0893ff34,1,q,20.14
136,12d9ddbb-bae765bf,3,,18.47
137,12c1bdb3-41039c71,3,,18.14
138,06ca4b52-6fc89b9d,3,,17.22
139,0879ba7f-43a47bb3,3,,17.02
140,1a8d12f7-aec906c5,3,,15.18
141,28ad955f-0627393c,3,,18.16
142,12149aae-a323a442,1,q,16.08
143,1b62fca1-0ee12bc5,3,,15.2
144,08b61578-35cae2fa,3,,18.62
145,12e4568a-1a7a65af,3,,18.5
146,2f78a740-e420fa74,1,q,21.03
147,0b2ea587-0b9240b3,1,q,20.08
148,11fb4e6e-74a5e584,3,,19.56
149,069ec458-173e54eb,3,,17.11
150,14b8a307-49cbd0db,3,,23.84
151,11135450-bdfa9993,1,q,18.17
152,2a322002-e5837bf7,3,,17.94
153,0a077d81-32f8013a,3,,18.38
154,10545e32-a25b494c,1,q,17.5
155,10a16946-795fbcf1,1,q,18.86
156,1b05d962-ab15eec8,1,q,21.14
157,1a957f57-95b86b42,3,,18.16
158,09bf2314-d8403d71,1,q,18.36
159,1b276558-040abe79,1,q,18.58
160,0a8155a9-57f33092,1,q,21.48
161,05c0c96f-56cefd89,1,q,18.53
162,0c30d205-1fcf5de3,1,q,17.59
163,0c91c363-9e274ad1,1,q,19.77
164,1aa41265-a89ad4f3,3,,26.41
165,14942896-ea3755fc,1,q,19.55
166,0919d0a6-27280b18,1,q,19.28
167,2796cfe3-9b4d6217,1,q,21.95
168,08c0f170-382c29db,1,q,21.31
169,0a0c3694-f3444902,3,,18.27
170,30d339ad-c158e1d5,1,q,18.52
171,27a9c8fe-33be40d7,1,q,16.83
172,11efd6f3-d6f1bb31,1,q,16.92
173,2efc2cb4-92513adc,3,,19.14
174,1033005c-df0cfd69,1,q,19.05
175,0ae12f26-78967190,3,,18.5
176,13041e31-34ca4a5f,1,q,18.47
177,07eabbe1-693691f6,1,q,19.34
178,12772a6e-4a3ee382,1,q,19.12
179,147445a7-f631f18d,3,,18.02
180,287a322d-af6f79c1,4,,21.27
181,08a5891b-71844499,1,q,17.22
182,31765c6b-90b0d612,3,,15.4
183,1ab40223-fcb1adda,3,,13.74
184,12aebffc-24bc19af,1,q,21.28
185,281b8469-686ba3e0,3,,17.73
186,13f7f0bf-82bb9fb7,1,q,15.62
187,0a92a84e-d03c9696,3,,15.33
188,2aecd572-9a5d712c,3,,15.22
189,29947c23-01e82a0e,1,q,21.3
190,14bdf1b4-de55061c,1,q,21.25
191,13ecf73d-28ac4040,1,q,16.98
192,29ede712-0dd0a1eb,3,,15.64
193,086f115c-f16c3735,3,,19.56
194,110c9575-f59c7fac,1,q,17.83
195,0b363c80-42165e68,1,q,20.12
196,12da8593-780d421a,3,,17.78
197,088588be-a1b2c890,3,,17.45
198,1136e848-28282fe0,1,q,19.58
199,27c2b3af-492b985b,1,q,18.25
200,0c154337-09dd2a21,1,q,18.45
201,104dc705-cc0d2564,1,q,20.56
202,26b66cb8-3820ea1b,4,,19.56
203,12fa635f-81538467,4,,22.19
204,0fa91e8c-e1e98e63,1,q,21.88
205,3147bc43-e98fe065,1,q,14.58
206,28e54af2-f8367184,1,q,20.89
207,2b05ceba-4f3be758,3,,17.91
208,2a29f8d5-daf41dd3,1,q,15.11
209,06cefa8d-bc1fd9ab,1,q,17.66
210,10380cdd-1c8357eb,4,,21.25
211,26afd0b9-d88e35cb,1,q,20.08
212,0c140522-227e6f11,1,q,20.3
213,101c9c8b-738ae7ec,3,,18.36
214,3100e8a0-baaeb277,1,q,25.3
215,0b392d27-4ce0684d,1,q,18.34
216,0594b389-e9ced33c,1,q,19.47
217,32654172-8c1f23e8,1,q,17.09
218,2fdcceaa-488a3a47,1,q,14.81
219,1a2cd248-87d71e98,4,,22.08
220,064677da-d6202761,4,,21.34
221,2776a8af-5c180f62,1,q,18.86
222,02d5e1be-7ec9c0bd,1,q,17.08
223,070f6b29-5f5d24aa,1,q,19.17
224,29693b17-cdabbe58,4,,21.91
225,10a7fd8d-ee4e4d2f,3,,18.14
226,1a8d12f7-a9d56367,4,,20.36
227,26d5e3a6-327d6a8c,1,q,18.89
228,1b12afc0-770a043f,3,,18.19
229,0ab51228-b0439727,1,q,17.56
230,0c2a51f7-f9417ba1,3,,16.25
231,07f58d35-2c967dc7,1,q,18.64
232,19d8828c-24da3877,3,,17.17
233,03b8bba0-3aa073d8,1,q,15.66
234,1c198126-1122c365,4,,17.0
235,0384ec78-864ea363,1,q,19.73
236,1a2e36d4-7f3e8a9c,4,,21.39
237,19eb4414-de67930b,1,q,26.92
238,0832b2c1-59228fb8,1,q,30.53
239,0594b1a4-235a835a,1,q,16.64
240,08ac23b4-93b233b1,1,q,17.55
241,32b8fc83-741ed0ce,3,,16.16
242,06d54ae6-bf7ed032,1,q,17.52
243,1bf4bbc2-98a29105,3,,16.64
244,2f8af0cb-de8d2a3b,1,q,18.78
245,0c6d870a-f2991621,1,q,20.31
246,0679098c-46a9ff6f,1,q,21.8
247,277b943f-2f424aeb,1,q,19.28
248,295007d8-79b88bf9,4,,19.94
249,327284f7-698ace1d,3,,14.98
250,0a0379a5-3870b241,1,q,20.94
251,1aaf831d-c31b9f53,4,,18.09
252,1acc2350-c0a18a90,1,q,22.27
253,091df216-7fb5670c,3,,17.22
254,082d5dee-143aa65a,3,,18.06
255,10380cdd-86bc507d,3,,17.12
256,3143da7b-3cf71118,1,q,17.84
257,2a5426eb-f3bb20d1,1,q,14.82
258,0b630871-05adf86a,4,,21.19
259,0573f031-e8244dd0,3,,15.64
260,0a0a0b1a-7c39d841,1,q,22.03
261,1a788a4c-ea90ff67,1,q,15.06
262,1360daf5-b6526ed1,1,q,19.94
263,28f4668c-0908fae9,1,q,16.36
264,2b116403-0df1b7bd,3,,13.7
265,128b3f5b-c2776bb4,1,q,16.33
266,11d522ff-fc5d6747,3,,17.36
267,272eb054-847a5a46,3,,15.38
268,132f36a5-3e7891ae,3,,17.12
269,119e8fd0-ae1ccbed,3,,17.33
270,314f962f-d439d536,1,q,18.36
271,09604a5b-bb74b576,1,q,18.36
272,0605d7f1-83f1d038,1,q,14.83
273,08ba8824-190e42d4,1,q,20.44
274,1b8ec7c5-453d823a,1,q,19.67
275,0ab1b9e8-016bab4d,1,q,17.3
276,265eb1d9-e12c32bb,4,,20.41
277,0786294e-634c696d,3,,23.42
278,31f351ae-3c81f359,1,q,19.56
279,12b071b9-d252755c,4,,18.12
280,2ab88494-3675cb8d,3,,16.84
281,12449ff6-a2871094,1,q,14.66
282,1a5d0011-c34c50cc,1,q,17.8
283,263bfdd0-3873302f,1,q,20.11
284,0cdd0b65-7f73759a,1,q,21.38
285,121f7fbc-08249914,1,q,12.04
286,06cb522f-dd1b9be7,1,q,16.17
287,2a174e91-f5bfd354,4,,18.2
288,06ba2179-c1ded330,4,,21.05
289,13b306d7-5d25a761,1,q,20.22
290,307314f7-206fe0a6,3,,17.22
291,06d7ad03-a9e83211,1,q,18.78
292,29b74173-8e715c9f,1,q,22.42
293,2831384a-11f278b5,3,,15.26
294,28dbc980-d60627ec,1,q,16.41
295,26b10fe1-c5e9394e,1,q,19.88
296,0423e13f-e98cd41d,1,q,16.61
297,0b05f0b9-6fb236ee,1,q,16.66
298,1ae8e362-c0a0953c,1,q,18.12
299,1347a204-52155142,2,,18.69
300,309a1e62-4225634d,3,,15.12
